DateTime	Categoria	NavigatedTo
20/12/2023 14:06:51	Apprendimento	epicode
20/12/2023 14:06:55	Apprendimento	epicode
20/12/2023 14:06:58	Apprendimento	epicode
21/12/2023 08:54:47	Apprendimento	epicode
21/12/2023 08:54:49	Apprendimento	epicode
21/12/2023 11:05:19	Apprendimento	epicode
21/12/2023 11:05:21	Apprendimento	epicode
21/12/2023 11:05:30	Apprendimento	epicode
21/12/2023 11:05:35	Apprendimento	epicode
21/12/2023 13:55:01	Apprendimento	epicode
21/12/2023 13:55:22	Apprendimento	epicode
21/12/2023 13:57:16	Apprendimento	epicode
21/12/2023 14:07:19	Apprendimento	epicode
21/12/2023 14:07:21	Apprendimento	epicode
21/12/2023 14:07:26	Apprendimento	epicode
21/12/2023 14:07:29	Apprendimento	epicode
21/12/2023 17:43:37	Apprendimento	epicode
21/12/2023 17:52:49	Apprendimento	epicode
22/12/2023 08:59:03	Apprendimento	epicode
22/12/2023 08:59:10	Apprendimento	epicode
22/12/2023 10:19:03	Apprendimento	epicode
22/12/2023 10:19:05	Apprendimento	epicode
22/12/2023 10:19:12	Apprendimento	epicode
22/12/2023 10:19:38	Apprendimento	epicode
22/12/2023 10:19:47	Apprendimento	epicode
22/12/2023 10:19:58	Apprendimento	epicode
22/12/2023 10:24:22	Apprendimento	epicode
22/12/2023 10:44:28	Apprendimento	epicode
22/12/2023 11:54:42	Apprendimento	epicode
22/12/2023 11:54:43	Apprendimento	epicode
22/12/2023 11:54:45	Apprendimento	epicode
22/12/2023 12:10:32	Apprendimento	epicode
22/12/2023 12:16:50	Apprendimento	epicode
22/12/2023 12:26:27	Apprendimento	epicode
22/12/2023 13:56:30	Apprendimento	epicode
22/12/2023 13:56:43	Apprendimento	epicode
22/12/2023 14:37:55	Apprendimento	epicode
22/12/2023 14:37:57	Apprendimento	epicode
22/12/2023 14:38:06	Apprendimento	epicode
08/01/2024 08:56:42	Apprendimento	epicode
08/01/2024 08:56:47	Apprendimento	epicode
08/01/2024 09:11:15	Apprendimento	epicode
08/01/2024 09:11:17	Apprendimento	epicode
08/01/2024 09:11:27	Apprendimento	epicode
08/01/2024 09:11:31	Apprendimento	epicode
08/01/2024 10:33:33	Apprendimento	epicode
08/01/2024 13:58:12	Apprendimento	epicode
08/01/2024 13:58:13	Apprendimento	epicode
08/01/2024 14:27:29	Apprendimento	epicode
08/01/2024 14:27:30	Apprendimento	epicode
08/01/2024 14:27:35	Apprendimento	epicode
08/01/2024 14:27:42	Apprendimento	epicode
08/01/2024 14:27:43	Apprendimento	epicode
08/01/2024 16:23:05	Apprendimento	epicode
08/01/2024 16:23:09	Apprendimento	epicode
08/01/2024 16:24:12	Apprendimento	epicode
08/01/2024 16:24:14	Apprendimento	epicode
08/01/2024 16:24:21	Apprendimento	epicode
08/01/2024 16:34:17	Apprendimento	epicode
08/01/2024 16:34:31	Apprendimento	epicode
08/01/2024 16:34:37	Apprendimento	epicode
08/01/2024 16:35:23	Apprendimento	epicode
08/01/2024 16:36:35	Apprendimento	epicode
08/01/2024 16:37:10	Apprendimento	epicode
08/01/2024 16:37:13	Apprendimento	epicode
08/01/2024 16:37:22	Apprendimento	epicode
08/01/2024 16:38:05	Apprendimento	epicode
08/01/2024 16:38:30	Apprendimento	epicode
08/01/2024 16:51:44	Apprendimento	epicode
08/01/2024 16:53:19	Apprendimento	epicode
08/01/2024 16:55:51	Apprendimento	epicode
08/01/2024 16:55:54	Apprendimento	epicode
08/01/2024 16:55:56	Apprendimento	epicode
08/01/2024 17:03:52	Apprendimento	epicode
08/01/2024 17:03:58	Apprendimento	epicode
08/01/2024 19:59:56	Apprendimento	epicode
08/01/2024 19:59:57	Apprendimento	epicode
08/01/2024 20:00:03	Apprendimento	epicode
08/01/2024 20:00:05	Apprendimento	epicode
08/01/2024 20:00:11	Apprendimento	epicode
08/01/2024 20:01:59	Apprendimento	epicode
08/01/2024 20:02:03	Apprendimento	epicode
08/01/2024 20:02:07	Apprendimento	epicode
08/01/2024 20:02:11	Apprendimento	epicode
09/01/2024 08:54:19	Apprendimento	epicode
09/01/2024 08:54:20	Apprendimento	epicode
09/01/2024 09:10:13	Apprendimento	epicode
09/01/2024 09:10:15	Apprendimento	epicode
09/01/2024 09:10:20	Apprendimento	epicode
09/01/2024 09:10:22	Apprendimento	epicode
09/01/2024 09:10:26	Apprendimento	epicode
09/01/2024 09:12:00	Apprendimento	epicode
09/01/2024 09:12:05	Apprendimento	epicode
09/01/2024 09:12:33	Apprendimento	epicode
09/01/2024 09:12:35	Apprendimento	epicode
09/01/2024 09:12:40	Apprendimento	epicode
09/01/2024 09:12:42	Apprendimento	epicode
09/01/2024 09:12:47	Apprendimento	epicode
09/01/2024 09:13:31	Apprendimento	epicode
09/01/2024 09:13:35	Apprendimento	epicode
09/01/2024 09:14:07	Apprendimento	epicode
09/01/2024 09:14:49	Apprendimento	epicode
09/01/2024 09:14:51	Apprendimento	epicode
09/01/2024 09:14:57	Apprendimento	epicode
09/01/2024 09:15:04	Apprendimento	epicode
09/01/2024 09:15:16	Apprendimento	epicode
09/01/2024 09:15:18	Apprendimento	epicode
09/01/2024 09:15:21	Apprendimento	epicode
09/01/2024 09:15:33	Apprendimento	epicode
09/01/2024 11:41:12	Apprendimento	epicode
09/01/2024 11:41:14	Apprendimento	epicode
09/01/2024 11:46:33	Apprendimento	epicode
09/01/2024 11:46:37	Apprendimento	epicode
09/01/2024 11:46:40	Apprendimento	epicode
09/01/2024 13:58:20	Apprendimento	epicode
09/01/2024 13:58:21	Apprendimento	epicode
10/01/2024 08:57:51	Apprendimento	epicode
10/01/2024 08:57:55	Apprendimento	epicode
10/01/2024 08:58:25	Apprendimento	epicode
10/01/2024 13:56:21	Apprendimento	epicode
10/01/2024 13:56:37	Apprendimento	epicode
11/01/2024 08:56:43	Apprendimento	epicode
11/01/2024 08:56:50	Apprendimento	epicode
11/01/2024 13:56:38	Apprendimento	epicode
13/01/2024 10:14:03	Apprendimento	epicode
13/01/2024 10:14:16	Apprendimento	epicode
